,sentences,Actual,Predicted
94,i will give you both books and a hat,_offer( _books 2 _hats 1 ) _inquiry ,_offer( _books 2 _hats 1 )
95,if you give me both hats and both books i will give you the ball,_need( _books 2 _hats 2 ) _offer( _balls 1 ) _inquiry ,_need( _books 2 _hats 2 ) _offer( _balls 1 )
96,no i need both hats and both books,_counteroffer _need( _books 2 _hats 2 ) _inquiry ,_counteroffer _need( _books 2 _hats 2 )
97,"hi , i would like the ball and 2 hats and you can have the book and 1 hat",_greeting _need( _hats 2 _balls 1 ) _offer( _books 1 _hats 1 ) _inquiry ,_greeting _need( _balls 1 ) _offer( _books 1 _hats 1 )
98,"ok , i can do that .",_yes _inquiry ,_yes
99,i rather like the ball also . you can have all three hats if i get the ball and book .,_need( _books 1 _balls 1 ) _offer( _hats all ) _inquiry ,_need( _books 1 _balls 1 ) _offer( _hats all )
100,"hello , i would like the hats , and you can have the rest . i can also take 2 hats and the ball , giving you 1 hat and the books .",_greeting _need( _hats all ) _offer( _books all _balls all ) _inquiry ,_greeting _need( _hats all ) _offer( rest )
101,"yeah i can do that , where i get 2 hats and the books as well",_counteroffer _need( _books all _hats 2 ) _inquiry ,_yes _need( _books all _hats 2 )
102,deal,_deal _inquiry ,_deal
103,could i have the ball and 1 hat ?,_need( _hats 1 _balls 1 ) _inquiry ,_need( _hats 1 _balls 1 )
104,yes . deal ?,_yes _inquiry ,_yes
105,"i'll take the book and hat , you can have the balls",_need( _books 1 _hats 1 ) _offer( _balls all ) _inquiry ,_need( _books 1 _hats 1 ) _offer( _balls all )
106,"i'll take the book , you can have the rest",_need( _books 1 ) _offer( _hats all _balls all ) _inquiry ,_need( _books 1 ) _offer( rest )
107,i really need that hat and two balls,_need( _hats 1 _balls 2 ) _inquiry ,_need( _hats 1 _balls 2 )
108,deal,_deal _inquiry ,_deal
109,i would like 1 of each,_need( _books 1 _hats 1 _balls 1 ) _inquiry ,_need( _books 1 _hats 1 _balls 1 )
110,i'll take ball and 1 hat,_need( _hats 1 _balls 1 ) _inquiry ,_need( _hats 1 _balls 1 )
111,ok,_deal _inquiry ,_deal
112,i can't do that . i'll take the ball 2 books,_counteroffer _need( _books 2 _balls 1 ) _inquiry ,_counteroffer _need( _books 2 _balls 1 )
113,no sorry . how about i take the ball and you get the rest ?,_counteroffer _need( _balls 1 ) _offer( _books all _hats all ) _inquiry ,_counteroffer _need( _balls 1 ) _offer( rest )
114,i would like the ball and the books,_need( _books all _balls 1 ) _inquiry ,_need( _books all _balls 1 )
115,thats not going to work for me unfortunately . i need the ball and at least 1 book minimum,_counteroffer _need( _books 1 _balls 1 ) _inquiry ,_need( _books 1 _balls 1 )
116,yes please . thank you,_deal _inquiry _thanks ,_deal _thanks
117,you can have the books but i would like the ball .,_need( _balls 1 ) _offer( _books all ) _inquiry ,_need( _balls 1 ) _offer( _books all )
118,"hmm . okay , i think i can work with that . i take the hats , you get the ball and books ?",_deal _need( _hats all ) _offer( _books all _balls 1 ) _inquiry ,_deal
119,"okay , it's a deal .",_deal _inquiry ,_deal
120,"i'd like the basketball and the hat , you can keep all 4 books ?",_need( _hats 1 _balls 1 ) _offer( _books all ) _inquiry ,_need( _hats 1 _balls 1 ) _offer( _books all )
121,deal .,_deal _inquiry ,_deal
122,i need the hats you can have everything else,_need( _hats all ) _offer( _books all _balls all ) _inquiry ,_need( _hats all ) _offer( rest )
123,no deal . i need the hats or no deal .,_counteroffer _need( _hats all ) _inquiry ,_need( _hats all )
124,no deal .,_nodeal _inquiry ,_nodeal
125,no deal .,_nodeal _inquiry ,_nodeal
126,no deal .,_nodeal _inquiry ,_nodeal
127,what would you like,_inquiry ,_nodeal
128,you take all balls and i keep everything,_need( _books all _hats all ) _offer( _balls all ) _inquiry ,_need( _books all _hats all ) _offer( _balls all )
129,no deal,_nodeal _inquiry ,_nodeal
130,no deal,_nodeal _inquiry ,_nodeal
131,no,_nodeal _inquiry ,_nodeal
132,balls and hats for me,_need( _hats all _balls all ) _inquiry ,_need( _hats all _balls all )
133,yes deal,_deal _inquiry ,_deal
134,can i have one ball and the book ?,_need( _books 1 _balls 1 ) _inquiry ,_need( _books 1 _balls 1 )
135,i'm interested in the book and both balls in exchange for the hats .,_need( _books 1 _balls 2 ) _offer( _hats all ) _inquiry ,_need( _books 1 _balls 2 ) _offer( _hats all )
136,"i think that's fair . i agree . 1 book , 1 ball for me . . . rest for you .",_deal _need( _books 1 _balls 1 ) _offer( _books rest _hats all _balls rest ) _inquiry ,_deal _need( _books 1 _balls 1 ) _offer( rest )
137,definitely not both balls . we could split them ?,_counteroffer _need( _balls 1 ) _offer( _balls 1 ) _inquiry ,_counteroffer _need( _balls 1 ) _offer( _balls 1 )
138,deal !,_deal _inquiry ,_deal
139,"ok , i get rest",_deal _inquiry ,_deal
140,i want the ball,_need( _balls 1 ) _inquiry ,_need( _balls 1 )
141,deal,_deal _inquiry ,_deal
142,i can give you the hat and one of the books .,_offer( _books 1 _hats 1 ) _inquiry ,_offer( _books 1 _hats 1 )
143,i'll take books and hat if you want the balls,_need( _books all _hats all ) _offer( _balls all ) _inquiry ,_need( _books all _hats all ) _offer( _balls all )
144,ok,_deal _inquiry ,_deal
145,hello,_greeting _inquiry ,_greeting
146,id rather give the balls than the hat,_offer( _hats 0 _balls all ) _inquiry ,_offer( _hats 0 _balls all )
147,ill give you 2 balls and 1 book,_offer( _books 1 _balls 2 ) _inquiry ,_offer( _books 1 _balls 2 )
148,hi . may i have the books and 1 hat ?,_greeting _need( _books all _hats 1 ) _inquiry ,_greeting _need( _books all _hats 1 )
149,"if i can have both the books and 1 ball , you can have the rest .",_need( _books all _balls 1 ) _offer( _hats all ) _inquiry ,_need( _books all _balls 1 ) _offer( rest )
150,deal !,_deal _inquiry ,_deal
151,ok deal,_deal _inquiry ,_deal
152,i need 2 hats and 1 ball .,_need( _hats 2 _balls 1 ) _inquiry ,_need( _hats 2 _balls 1 )
153,"i can part with the hat , but not 2 balls . i'll need at least two of them to make a deal .",_need( _balls 2 ) _offer( _hats 1 ) _inquiry ,_need( _balls 2 ) _offer( _hats 1 )
154,i'll take two balls and the book .,_need( _books 1 _balls 2 ) _inquiry ,_need( _books 1 _balls 2 )
155,i would like the hat and two balls,_need( _hats 1 _balls 2 ) _inquiry ,_need( _hats 1 _balls 2 )
156,"okay , i'll take the hat , one ball and one book ?",_need( _books 1 _hats 1 _balls 1 ) _inquiry ,_need( _books 1 _hats 1 _balls 1 )
157,sounds good,_deal _inquiry ,_deal
158,thanks,_inquiry _thanks ,_deal _thanks
159,if i can have the balls and the book you can have the hats,_need( _books 1 _balls all ) _offer( _hats all ) _inquiry ,_need( _books 1 _balls all ) _offer( _hats all )
160,great ! thank you !,_deal _inquiry _thanks ,_deal _thanks
161,i'll take one of each if that's ok ?,_need( _books 1 _hats 1 _balls 1 ) _inquiry ,_need( _books 1 _hats 1 _balls 1 )
162,ok,_deal _inquiry ,_deal
163,i need 2 hats . you can have the rest,_need( _hats 2 ) _offer( _books all _hats rest _balls all ) _inquiry ,_need( _hats 2 ) _offer( rest )
164,i get the books and a ball deal,_need( _books all _balls 1 ) _inquiry ,_need( _books all _balls 1 )
165,i want two hats,_need( _hats 2 ) _inquiry ,_need( _hats 2 )
166,deal,_deal _inquiry ,_deal
167,i can give you one hat and the ball . i want 2 books and 1 hat,_need( _books 2 _hats 1 ) _offer( _hats 1 _balls 1 ) _inquiry ,_need( _books 2 _hats 1 ) _offer( _balls 1 )
168,"sorry , i won`t make a deal without a hat",_counteroffer _need( _hats 1 ) _inquiry ,_need( _hats 1 )
169,sorry can`t do,_nodeal _inquiry ,_no
170,"yesh no deal , sorry",_nodeal _inquiry ,_nodeal
171,no deal,_nodeal _inquiry ,_nodeal
172,i need the hats and the ball,_need( _hats all _balls 1 ) _inquiry ,_need( _hats all _balls 1 )
173,i have to have both hats and the ball or both hats and a book to make a deal,_need( _books ? _hats 2 _balls ? ) _inquiry ,_need( _books 1 _hats 2 _balls 1 )
174,if you take 1 hat i have to have everything else,_need( _books all _hats rest _balls all ) _offer( _hats 1 ) _inquiry ,_need( rest ) _offer( _hats 1 )
175,no deal,_nodeal _inquiry ,_nodeal
176,no deal,_nodeal _inquiry ,_nodeal
177,okay,_deal _inquiry ,_deal
178,you can have the balls if i can have the book and hat,_need( _books 1 _hats 1 ) _offer( _balls all ) _inquiry ,_need( _books 1 _hats 1 ) _offer( _balls all )
179,you can have the balls and one hat,_offer( _hats 1 _balls all ) _inquiry ,_offer( _hats 1 _balls all )
180,okay thank you .,_deal _inquiry _thanks ,_deal _thanks
181,i'd like the hats and balls . what do you want ?,_need( _hats all _balls all ) _inquiry ,_need( _hats all _balls all )
182,okay .,_deal _inquiry ,_deal
183,i need the same . if i can't have the balls i can't make a deal,_counteroffer _need( _balls all ) _inquiry ,_counteroffer _need( _balls all )
184,okay deal .,_deal _inquiry ,_deal
185,i need the balls and the hat,_need( _hats 1 _balls all ) _inquiry ,_need( _hats 1 _balls all )
186,you can have the balls if i can have everything else,_need( _books all _hats all ) _offer( _balls all ) _inquiry ,_need( _books all _hats all ) _offer( _balls all )
187,"fine , i get both hats",_yes _need( _hats 2 ) _inquiry ,_yes _need( _hats 2 )
188,i'll take the book and two balls you .,_need( _books 1 _hats 2 ) _inquiry ,_need( _books 1 _balls 2 )
189,take all the balls i keep everything else,_need( _books all _hats all ) _offer( _balls all ) _inquiry ,_need( rest ) _offer( _balls all )
190,"can i keep a hat at least , its cold",_need( _hats 1 ) _inquiry ,_need( _hats 1 )
191,deal,_deal _inquiry ,_deal
192,"nah , hats and a ball for me",_no _need( _hats all _balls all ) _inquiry ,_need( _hats all _balls 1 )
193,"ok , two hats and 2 balls for me",_yes _need( _hats 2 _balls 2 ) _inquiry ,_yes _need( _hats 2 _balls 2 )
194,how many balls do you need,_offer( _balls ? ) _inquiry ,_offer( _balls )
195,could you just take the hat and give me the rest ?,_need( rest ) _offer( _hats 1 ) _inquiry ,_need( rest ) _offer( _hats 1 )
196,okay ill give you the hat and balls,_yes _offer( _hats 1 _balls all ) _inquiry ,_yes _offer( _hats 1 _balls all )
197,i need the balls and a hat,_need( _hats 1 _balls all ) _inquiry ,_need( _hats 1 _balls all )
198,both,_inquiry ,_deal
199,not possible,_no _inquiry ,_counteroffer
200,great,_yes _inquiry ,_deal
201,"ill give you all books with a hat , i get to keep a hats",_need( _hats 1 ) _offer( _books all _hats 1 ) _inquiry ,_need( _hats 1 ) _offer( _books all _hats 1 )
202,deal,_deal _inquiry ,_deal
203,i'd like the hats and books,_need( _books all _hats all ) _inquiry ,_need( _books all _hats all )
204,"how about this , i get the hats you take everything else . deal ?",_need( _hats all ) _offer( _books all _balls all ) _inquiry ,_need( _hats all ) _offer( rest )
205,i'd like book and 1 ball or hat ?,_need( _books 1 _hats 1? _balls 1? ) _inquiry ,_need( _books 1 _hats 1 )
206,deal .,_deal _inquiry ,_deal
207,"hi , i would like 2 balls and 1 hat .",_greeting _need( _hats 1? _balls 2 ) _inquiry ,_greeting _need( _hats 1 _balls 2 )
208,"hmm , how about i get the 2 balls and you keep the rest ?",_need( _balls 2 ) _offer( rest ) _inquiry ,_need( _balls 2 ) _offer( rest )
209,i want the balls . i can offer you the rest .,_need( _balls all ) _offer( rest ) _inquiry ,_need( _balls all ) _offer( rest )
210,2 balls and a book to me ? if so that works for me .,_need( _books 1 _balls 2 ) _inquiry ,_need( _books 1 _balls 2 )
211,can i have 1 ball and give you a book for it ?,_need( _balls 1 ) _offer( _books 1 ) _inquiry ,_need( _balls 1 ) _offer( _books 1 )
212,i'd like the ball and two hats .,_need( _hats 2 _balls 1 ) _inquiry ,_need( _hats 2 _balls 1 )
213,you can have the ball . i'll take the book and we can split the hats .,_need( _books 1 _hats split ) _offer( _hats split _balls 1 ) _inquiry ,_need( _books 1 _hats rest ) _offer( _hats rest _balls 1 )
214,"unfortunately the ball is highest value to me . only way i can give the ball up is if you give me everything else . otherwise , i can take the ball and the book and leave you the hats .",_need( rest ) _offer( _balls 1 ) _inquiry ,_need( rest ) _offer( _balls 1 )
215,deal,_deal _inquiry ,_deal
216,sounds like a deal !,_deal _inquiry ,_deal
217,i will take 1 book and 1 ball,_need( _books 1 _balls 1 ) _inquiry ,_need( _books 1 _balls 1 )
218,thanks,_inquiry _thanks ,_deal _thanks
219,i want the hat and 2 balls,_need( _hats 1 _balls 2 ) _inquiry ,_need( _hats 1 _balls 2 )
220,ok deal,_deal _inquiry ,_deal
221,one ball and one hat for you,_offer( _hats 1 _balls 1 ) _inquiry ,_offer( _hats 1 _balls 1 )
222,ok,_deal _inquiry ,_deal
223,the ball and one hat,_misc( _hats 1 _balls 1 ) _inquiry ,_yes _hats 1 _balls 1 )
224,what would you like,_inquiry ,_nodeal
225,fine,_deal _inquiry ,_deal
226,i need both hats and a book if you want all the balls,_need( _books 1 _hats 2 ) _offer( _balls all ) _inquiry ,_need( _books 1 _hats 2 ) _offer( rest )
227,"so 3 balls for you , the rest to me ?",_need( rest ) _offer( _balls 3 ) _inquiry ,_need( rest ) _offer( _balls 3 )
228,i'd like the balls for sure ; i'd like a hat but only if they're not of value to you .,_need( _hats 1 _balls all ) _inquiry ,_need( _hats 1 _balls all )
229,oh fine,_deal _inquiry ,_deal
230,"yep , deal",_deal _inquiry ,_deal
231,ideal would be the ball and two hats .,_misc( _hats 2 _balls 1 ) _inquiry ,_yes _hats 2 _balls 1 )
232,"deal , i'll take the ball and one hat .",_deal _need( _hats 1 _balls 1 ) _inquiry ,_deal _need( _hats 1 _balls 1 )
233,what do you want ?,_inquiry ,_deal
234,i'd need the book at 3 hats to be at 6 . that's the best i can do .,_need( _books 1 _hats 3 ) _inquiry ,_need( _books 1 _hats 3 )
235,the book and hat for me,_need( _books 1 _hats 1 ) _inquiry ,_need( _books 1 _hats 1 )
236,deal,_deal _inquiry ,_deal
237,hat and two balls for me,_need( _hats 1 _balls 2 ) _inquiry ,_need( _hats 1 _balls 2 )
238,"it would be hard for me to part with a hat . how about you get the ball and both books , and i keep the hats .",_need( _hats all ) _offer( _books all _balls 1 ) _inquiry ,_need( _hats all ) _offer( _books 1 _balls 1 )
239,"okay , deal .",_deal _inquiry ,_deal
240,i'd like the ball and one hat,_need( _hats 1 _balls 1 ) _inquiry ,_need( _hats 1 _balls 1 )
241,"find , , ill just get the ball . i don't need the books",_yes _need( _books 0 _balls 1 ) _inquiry ,_need( _books 0 _balls 1 )
242,"that works , i could definitely put a hat and the basketballs to use .",_yes _need( _hats 1 _balls all ) _inquiry ,_yes _need( _hats 1 _balls all )
243,i do a lot of reading outside and could really use a book and a hat .,_need( _books 1 _hats 1 ) _inquiry ,_need( _books 1 _hats 1 )
244,basketballs with hats on them are so cute . thanks,_need( _hats all _balls all ) _inquiry _thanks ,_need( _hats all _balls all ) _thanks
245,"i'd like to have 2 balls , please . you can have the rest",_need( _balls 2 ) _offer( rest ) _inquiry ,_need( _balls 2 ) _offer( rest )
246,that sounds ok,_deal _inquiry ,_deal
247,"can i have the the book , one hat and one ball",_need( _books 1 _hats 1 _balls 1 ) _inquiry ,_need( _books 1 _hats 1 _balls 1 )
248,"i really need that book too , you take book i take the rest",_need( rest ) _offer( _books 1 ) _inquiry ,_need( rest ) _offer( _books 1 )
249,i'd like the two hats and the book .,_need( _books 1 _hats 2 ) _inquiry ,_need( _books 1 _hats 2 )
250,you can have the three balls and a hat but i need that book .,_need( _books 1 ) _offer( _hats 1 _balls 3 ) _inquiry ,_need( _books 1 ) _offer( _hats 1 _balls 3 )
251,deal . i get the book you can have the rest .,_yes _need( _books 1 ) _offer( rest ) _inquiry ,_deal
252,"i would like the hat , the rest to you",_need( _hats 1 ) _offer( rest ) _inquiry ,_need( _hats 1 ) _offer( rest )
253,i would like hat and 2 balls,_need( _hats 1 _balls 2 ) _inquiry ,_need( _hats 1 _balls 2 )
254,i accept,_deal _inquiry ,_deal
255,i like 1 book 1 hat and 1 ball,_need( _books 1 _hats 1 _balls 1 ) _inquiry ,_need( _books 1 _hats 1 _balls 1 )
256,i really need that book more then balls,_need( _books 1 ) _inquiry ,_need( rest )
257,"ok , deal",_deal _inquiry ,_deal
258,i can offer 2 balls,_offer( _balls 2 ) _inquiry ,_offer( _balls 2 )
259,i can offer the book and 1 ball,_offer( _books 1 _balls 1 ) _inquiry ,_offer( _books 1 _balls 1 )
260,i can give you the books . i need the hat and ball,_need( _hats 1 _balls 1 ) _offer( _books all ) _inquiry ,_need( _hats 1 _balls 1 ) _offer( _books all )
261,i need it and the hat,_need( _hats 1 ) _inquiry ,_need( _hats 1 )
262,deal,_deal _inquiry ,_deal
263,i would like the books and the ball .,_need( _books all _balls 1 ) _inquiry ,_need( _books all _balls 1 )
264,are you sure you split with the ball . .,_need( _balls 1 ) _inquiry ,_need( _balls 1 )
265,okay - as long as i get the books thats fine .,_yes _need( _books all ) _inquiry ,_yes _need( _books all )
266,you take the hats and i will take the book and the ball,_need( _books 1 _balls 1 ) _offer( _hats all ) _inquiry ,_need( _books 1 _balls 1 ) _offer( _hats all )
267,okay,_deal _inquiry ,_deal
268,no deal . i want the book and the hats .,_counteroffer _need( _books 1 _hats all ) _inquiry ,_need( _books 1 _hats all )
269,i need the hat and ball you can have all the books,_need( _hats 1 _balls 1 ) _offer( _books all ) _inquiry ,_need( _hats 1 _balls 1 ) _offer( _books all )
270,why don't you make me an offer,_inquiry ,_no
271,"not gonna happen , i have no wiggle room i need the hat and the ball",_counteroffer _need( _hats 1 _balls 1 ) _inquiry ,_need( _hats 1 _balls 1 )
272,that is my only offer,_inquiry ,_nodeal
273,no deal,_nodeal _inquiry ,_nodeal
274,what do you need ?,_inquiry ,_nodeal
275,"that's not gonna work for me . i've got some flexibility , but not that . what else can you do ?",_nodeal _inquiry ,_nodeal
276,all books and the hat ?,_misc( _books all _hats 1 ) _inquiry ,_yes _books all _hats 1 )
277,well then why would i make you an offer ? that's the same thing you said before !,_nodeal _inquiry ,_nodeal
278,then no .,_nodeal _inquiry ,_no
279,i would all the books and one ball and one hat,_need( _books all _hats 1 _balls 1 ) _inquiry ,_need( _books all _hats 1 _balls 1 )
280,ok i will take the 3 books and one hat,_need( _books 3 _hats 1 ) _inquiry ,_need( _books 3 _hats 1 )
281,you can take all the books but i would like 2 balls at least and one hat,_need( _hats 1 _balls 2 ) _offer( _books all ) _inquiry ,_need( _hats 1 _balls 2 ) _offer( _books all )
282,cool done deal !,_deal _inquiry ,_deal
